country,primary_school_enrollments,gdp_percapita_ppp
"Micronesia, Fed. Sts.",NA,3662.66399184245
Moldova,93.5407791137695,8550.170639047
Monaco,NA,NA
Mongolia,125.748039245605,7479.79740248469
Montenegro,110.434669494629,16717.3310133169
Morocco,109.706237792969,6284.12011608832
Mozambique,112.532577514648,1027.20857096279
Myanmar,98.1119537353516,3129.92081158617
Namibia,115.193130493164,8888.4131192552
Nauru,NA,6696.52986190429
Nepal,144.451934814453,2356.29231641416
Netherlands,108.276077270508,52277.8834721874
New Caledonia,NA,NA
New Zealand,101.110939025879,37066.030128922
Nicaragua,120.640426635742,4611.84028792174
Niger,62.7083587646484,1036.90430530082
Nigeria,85.1178512573242,4932.33498667095
North Macedonia,87.3852081298828,13308.5727080564
Northern Mariana Islands,NA,NA
Norway,99.0801162719727,60290.0783582235
Oman,NA,33870.9533754218
Pakistan,84.5936126708984,3906.87401440434
Palau,NA,15073.3751986446
Panama,105.110610961914,21347.3327494385
Papua New Guinea,NA,3409.29681716922
Paraguay,102.645477294922,10405.2309409429
Peru,109.869888305664,10066.4696472131
Philippines,NA,5918.37348075447
Poland,96.5289611816406,24072.4227530003
Portugal,111.589218139648,31837.9730104088
Puerto Rico,97.4112167358398,32960.6911054053
Qatar,102.569938659668,95908.4161572388
Romania,99.9677200317383,20338.8974621853
Russian Federation,NA,24034.7277105491
Rwanda,148.230285644531,1507.16501035777
Samoa,110.744010925293,6010.89519762392
San Marino,112.965621948242,71576.7439024426
Sao Tome and Principe,116.59204864502,3357.48881713945
Saudi Arabia,106.622428894043,44036.7785878196
Senegal,84.0348815917969,2742.99502020728
Serbia,95.8957595825195,14463.173599177
Seychelles,110.431793212891,20981.8345862825
Sierra Leone,NA,1413.56417680838
Singapore,NA,78159.8433287318
Sint Maarten (Dutch part),NA,43543.8897582329
Slovak Republic,101.448020935059,26108.6438090938
Slovenia,99.4963912963867,33505.643357468
Solomon Islands,114.656143188477,2441.76059306858
Somalia,NA,NA
South Africa,104.729377746582,12452.3382584732
South Sudan,NA,NA
Spain,103.975578308105,37363.1270192181
Sri Lanka,99.503288269043,9126.86579479194
St. Kitts and Nevis,113.479682922363,23710.229638671
St. Lucia,NA,14109.9807727445
St. Martin (French part),NA,NA
St. Vincent and the Grenadines,109.108093261719,11447.995346102
Sudan,71.7259826660156,3217.76676555225
Suriname,114.04035949707,16953.8034242653
Sweden,101.437637329102,48519.1327274185
Switzerland,102.849456787109,64478.5814430623
Syrian Arab Republic,116.823791503906,NA
Tajikistan,101.498466491699,2259.59458613619
Tanzania,102.841667175293,2006.97165229779
Thailand,96.8581390380859,14413.3516239249
Timor-Leste,122.682792663574,2930.03841389637
Togo,127.337432861328,1224.97842819758
Tonga,108.361198425293,5170.70340680526
Trinidad and Tobago,106.210083007813,28910.9088184444
Tunisia,107.192138671875,10113.3492833656
Turkey,101.298980712891,20187.1840008158
Turkmenistan,NA,8616.88614487802
Turks and Caicos Islands,NA,NA
Tuvalu,NA,3281.24837480328
Uganda,121.982307434082,1861.28228564753
Ukraine,98.8184432983398,11778.3136960259
United Arab Emirates,NA,54921.8398136707
United Kingdom,104.554908752441,42094.417972689604
United States,100.333473205566,54359.1339744884
Uruguay,112.825141906738,17712.8969892031
Uzbekistan,93.9317474365234,4651.52296182589
Vanuatu,122.482803344727,3239.88782353596
"Venezuela, RB",102.755821228027,NA
Vietnam,105.709167480469,5089.41124789522
Virgin Islands (U.S.),NA,NA
West Bank and Gaza,91.3215713500977,5411.0664822782
"Yemen, Rep.",91.7458267211914,NA
Zambia,106.97876739502,3125.52930813716
Zimbabwe,NA,2273.20007326702
